Year,Region,Sex,Age group,Value
2008,,,,1.0028504892907537
2009,,,,0.9572684671944258
2010,,,,0.8158133174385706
2011,,,,0.9307081464378409
2012,,,,0.8696330572326862
2013,,,,0.6458088704625025
2014,,,,0.7554559399519035
2015,,,,0.7018887442141406
2016,,,,0.6900433027306491
2008,,,,1.0028504892907537
2009,,,,0.9572684671944258
2010,,,,0.8158133174385706
2011,,,,0.9307081464378409
2012,,,,0.8696330572326862
2013,,,,0.6458088704625025
2014,,,,0.7554559399519035
2015,,,,0.7018887442141406
2016,,,,0.6900433027306491
2008,,Male,,1.372909065269054
2008,,Female,,0.5995593904657178
2008,London,,,1.7664766509548382
2008,East Midlands,,,1.2834585831292746
2008,East of England,,,0.963500836493908
2008,North West,,,1.7676103933766634
2008,South East,,,0.9849996421959131
2008,South West,,,0.8453338722977174
2008,West Midlands,,,0.745964513922245
2008,Yorkshire and The Humber,,,1.1733759082843225
2008,North East,,,0.7005766524267975
2008,London,Male,,2.4430706070796546
2008,London,Female,,1.0593904368320797
2008,East Midlands,Male,,1.6447804263819124
2008,East Midlands,Female,,0.7547561848939545
2008,East of England,Female,,0.6885193529019713
2008,East of England,Male,,1.2127412017409256
2008,North West,Female,,1.04244791563948
2008,North West,Male,,2.4932469672583877
2008,South East,Female,,0.5586784647143337
2008,South East,Male,,1.3315427714537567
2008,South West,Female,,0.6018635199235634
2008,South West,Male,,1.020955504403067
2008,West Midlands,Female,,0.5015612886399234
2008,West Midlands,Male,,0.9611986294786311
2008,Yorkshire and The Humber,Female,,0.49103261136430765
2008,Yorkshire and The Humber,Male,,1.8814727070825294
2008,North East,Female,,0.45563275999544367
2008,North East,Male,,0.9581129008305243
2008,,,0 to 20,0.33003229112097626
2008,,Male,0 to 20,0.29824108591567655
2008,,Female,0 to 20,0.3502466579658478
2008,London,,0 to 20,0.6437058442548759
2008,East Midlands,,0 to 20,0.3546951439574579
2008,East of England,,0 to 20,0.2771263384336127
2008,North West,,0 to 20,0.7228189494215781
2008,South East,,0 to 20,0.42018376036453275
2008,West Midlands,,0 to 20,0.20655068616137942
2008,North East,,0 to 20,0.4670416492174717
2008,London,Male,0 to 20,0.3903535822748246
2008,London,Female,0 to 20,0.9046644499037034
2008,East Midlands,Male,0 to 20,0.5199910561538341
2008,North West,Female,0 to 20,0.5683529699284444
2008,North West,Male,0 to 20,0.8707208153429715
2008,South East,Female,0 to 20,0.38290849635662566
2008,South East,Male,0 to 20,0.45567054654948036
2008,,,21 to 40,1.8546384180941604
2008,,Female,21 to 40,1.2160183380287775
2008,,Male,21 to 40,2.402948822662139
2008,London,,21 to 40,2.5890013547924897
2008,East Midlands,,21 to 40,2.2512654709560778
2008,East of England,,21 to 40,1.4242154607404836
2008,North West,,21 to 40,3.6945658912243737
2008,South East,,21 to 40,1.8671882649494604
2008,South West,,21 to 40,1.8861370498616048
2008,West Midlands,,21 to 40,1.1027919245304347
2008,Yorkshire and The Humber,,21 to 40,2.6535338257431507
2008,North East,,21 to 40,1.0691609682932677
2008,London,Male,21 to 40,3.4696578421702213
2008,London,Female,21 to 40,1.6342458346271114
2008,East Midlands,Male,21 to 40,2.431864371449912
2008,East Midlands,Female,21 to 40,1.553824479986741
2008,East of England,Female,21 to 40,1.3521772758495731
2008,East of England,Male,21 to 40,1.4967045287557759
2008,North West,Female,21 to 40,2.3751430483881415
2008,North West,Male,21 to 40,4.921900378548827
2008,South East,Female,21 to 40,0.996392154589337
2008,South East,Male,21 to 40,2.5644971021182745
2008,South West,Female,21 to 40,1.7405476395800534
2008,South West,Male,21 to 40,1.8736620881651695
2008,West Midlands,Female,21 to 40,0.964991487396522
2008,West Midlands,Male,21 to 40,1.240578495536674
2008,Yorkshire and The Humber,Female,21 to 40,1.0045246661031761
2008,Yorkshire and The Humber,Male,21 to 40,4.300951944030279
2008,North East,Female,21 to 40,0.9052613791355356
2008,North East,Male,21 to 40,1.2371529399393175
2008,,,41 to 60,1.064454418145797
2008,,Female,41 to 60,0.48156705773122205
2008,,Male,41 to 60,1.6350855426351014
2008,London,,41 to 60,2.0052548516328192
2008,East Midlands,,41 to 60,1.487284953055503
2008,East of England,,41 to 60,1.1030988642623871
2008,North West,,41 to 60,1.6597519259814888
2008,South East,,41 to 60,1.006500241122449
2008,South West,,41 to 60,1.0575989542461541
2008,West Midlands,,41 to 60,0.9048104596089132
2008,Yorkshire and The Humber,,41 to 60,1.0162579494963353
2008,North East,,41 to 60,0.9790839690385675
2008,London,Male,41 to 60,3.184374166160644
2008,London,Female,41 to 60,0.8561139915779786
2008,East Midlands,Male,41 to 60,2.3226260273472628
2008,East Midlands,Female,41 to 60,0.6584438009985301
2008,East of England,Female,41 to 60,0.5141209752360779
2008,East of England,Male,41 to 60,1.7036087675569989
2008,North West,Female,41 to 60,0.8502859086367791
2008,North West,Male,41 to 60,2.4814190264422167
2008,South East,Female,41 to 60,0.5211649426240829
2008,South East,Male,41 to 60,1.4110853098081895
2008,South West,Female,41 to 60,0.4161707298802261
2008,South West,Male,41 to 60,1.7205559116150428
2008,West Midlands,Male,41 to 60,1.5383776269546137
2008,Yorkshire and The Humber,Female,41 to 60,0.7227041856135614
2008,Yorkshire and The Humber,Male,41 to 60,1.3124182472800132
2008,North East,Male,41 to 60,1.705330294055787
2008,,,61 and over,0.47055922670178923
2008,,Female,61 and over,0.22734335226014102
2008,,Male,61 and over,0.7526729077837406
2008,London,,61 and over,0.7979904826335105
2008,East of England,,61 and over,0.8004123724542884
2008,North West,,61 and over,0.7577098701354165
2008,South East,,61 and over,0.3881303097612555
2008,South West,,61 and over,0.23804045100730784
2008,West Midlands,,61 and over,0.7784228115940024
2008,Yorkshire and The Humber,,61 and over,0.7398939731936414
2008,London,Male,61 and over,1.4000980068604802
2008,East of England,Female,61 and over,0.4388980732374585
2008,East of England,Male,61 and over,1.2371294355508584
2008,North West,Male,61 and over,1.386193512614361
2008,South East,Female,61 and over,0.3012151017203399
2008,South East,Male,61 and over,0.49532414011729275
2008,West Midlands,Female,61 and over,0.6313340562108277
2008,West Midlands,Male,61 and over,0.9567455343902183
2008,Yorkshire and The Humber,Male,61 and over,1.448981366099632
2009,,Male,,1.188908291348167
2009,,Female,,0.5042820797626748
2009,London,,,1.762648323708854
2009,East Midlands,,,0.8497976028104148
2009,East of England,,,0.8519601080980895
2009,North West,,,1.6174846367587554
2009,South East,,,1.024623709886865
2009,South West,,,0.784415613237951
2009,West Midlands,,,0.723588085181513
2009,Yorkshire and The Humber,,,1.0529653034531137
2009,North East,,,1.2813339540684487
2009,London,Male,,1.3289583343449602
2009,London,Female,,0.6948313234923711
2009,East Midlands,Male,,0.8623432407494398
2009,East Midlands,Female,,0.5290179575145678
2009,East of England,Female,,0.6495604356157405
2009,East of England,Male,,1.0260445487314551
2009,North West,Female,,0.646092279393898
2009,North West,Male,,2.5975595198659307
2009,South East,Female,,0.62399669420418
2009,South East,Male,,1.4169149870220192
2009,South West,Female,,0.2997906337161785
2009,South West,Male,,1.2899231205820132
2009,West Midlands,Female,,0.5701530575883096
2009,West Midlands,Male,,0.8450467218984304
2009,Yorkshire and The Humber,Female,,0.6769963776932703
2009,Yorkshire and The Humber,Male,,1.3257733060224033
2009,North East,Female,,0.6823454487558568
2009,North East,Male,,1.9101269358937525
2009,,,0 to 20,0.2909413267481083
2009,,Male,0 to 20,0.2970758085475147
2009,,Female,0 to 20,0.20693217616860418
2009,London,,0 to 20,0.38982593297527823
2009,East Midlands,,0 to 20,0.26475945720781147
2009,North West,,0 to 20,0.44574329086699854
2009,South East,,0 to 20,0.5572942620518366
2009,South West,,0 to 20,0.2391301402020012
2009,North East,,0 to 20,1.0949887059736327
2009,North West,Female,0 to 20,0.45590072305854673
2009,North West,Male,0 to 20,0.43602860783696024
2009,South East,Female,0 to 20,0.380955646286492
2009,South East,Male,0 to 20,0.725117151739828
2009,South West,Male,0 to 20,0.46696895123443244
2009,North East,Female,0 to 20,1.281197150617537
2009,North East,Male,0 to 20,0.9172404515268997
2009,,,21 to 40,1.162235505440804
2009,,Female,21 to 40,0.6020588997763174
2009,,Male,21 to 40,1.2986827306174582
2009,London,,21 to 40,2.0999286024275174
2009,East Midlands,,21 to 40,1.3062890852580051
2009,East of England,,21 to 40,0.8840788952006077
2009,North West,,21 to 40,2.179422006386796
2009,South East,,21 to 40,1.2344267916333294
2009,South West,,21 to 40,0.39557900899546666
2009,West Midlands,,21 to 40,0.969051271118396
2009,Yorkshire and The Humber,,21 to 40,0.6488679777164317
2009,North East,,21 to 40,1.99193419875213
2009,London,Male,21 to 40,1.4015603571456103
2009,London,Female,21 to 40,0.6292566591085951
2009,East Midlands,Male,21 to 40,0.8749901563607408
2009,East Midlands,Female,21 to 40,1.0401209313936235
2009,East of England,Female,21 to 40,0.5423964158444842
2009,East of England,Male,21 to 40,1.227849258310834
2009,North West,Female,21 to 40,0.6495249807307589
2009,North West,Male,21 to 40,3.6200206889667257
2009,South East,Female,21 to 40,0.9085920094784319
2009,South East,Male,21 to 40,1.564446931199305
2009,South West,Male,21 to 40,0.4724275532347115
2009,West Midlands,Female,21 to 40,1.3827051243051907
2009,West Midlands,Male,21 to 40,0.5544067016682097
2009,Yorkshire and The Humber,Male,21 to 40,1.010157858811679
2009,North East,Male,21 to 40,3.412609281056296
2009,,,41 to 60,0.8889726928754765
2009,,Female,41 to 60,0.3352215485200268
2009,,Male,41 to 60,1.1609071010365557
2009,London,,41 to 60,2.1763166848645668
2009,East Midlands,,41 to 60,1.3973644063338417
2009,East of England,,41 to 60,0.7748354120445582
2009,North West,,41 to 60,1.335569967839475
2009,South East,,41 to 60,0.6961031276783656
2009,South West,,41 to 60,0.35246340196265724
2009,West Midlands,,41 to 60,1.1772584144545173
2009,Yorkshire and The Humber,,41 to 60,0.9408856049568749
2009,London,Male,41 to 60,1.9311294854505485
2009,London,Female,41 to 60,0.5253094072408648
2009,East Midlands,Male,41 to 60,1.6502821157276835
2009,East Midlands,Female,41 to 60,0.6550729669401051
2009,East of England,Female,41 to 60,0.5114651302254155
2009,East of England,Male,41 to 60,0.913064518443251
2009,North West,Male,41 to 60,2.691013521804744
2009,South East,Female,41 to 60,0.5180094623061782
2009,South East,Male,41 to 60,0.877016040623383
2009,South West,Male,41 to 60,0.7164709506853045
2009,West Midlands,Female,41 to 60,0.689237827026118
2009,West Midlands,Male,41 to 60,1.669927664300008
2009,Yorkshire and The Humber,Female,41 to 60,0.5768368287241668
2009,Yorkshire and The Humber,Male,41 to 60,1.017087062652563
2009,,,61 and over,0.2145635795948503
2009,,Female,61 and over,0.11153471064759145
2009,,Male,61 and over,0.25522835280725664
2009,London,,61 and over,0.7831269213801482
2009,North West,,61 and over,0.5390138203143529
2009,South East,,61 and over,0.16199570063410518
2009,North West,Female,61 and over,0.3676988791312501
2009,North West,Male,61 and over,0.7481591544005973
2009,South East,Male,61 and over,0.35978556780159027
2010,,Male,,1.1394071829981751
2010,,Female,,0.5038498667598758
2010,London,,,1.7490552310706637
2010,East Midlands,,,0.7321828300463872
2010,East of England,,,0.7748731704813959
2010,North West,,,0.9401815205612712
2010,South East,,,0.8277208612820276
2010,South West,,,1.0453749760038926
2010,West Midlands,,,0.6467996175258262
2010,Yorkshire and The Humber,,,0.970543435815108
2010,North East,,,0.5411949894621604
2010,London,Male,,2.515129130502254
2010,London,Female,,1.0035353817203827
2010,East Midlands,Male,,1.0352442141101086
2010,East Midlands,Female,,0.437565333973929
2010,East of England,Female,,0.5081474671050737
2010,East of England,Male,,1.05060299358817
2010,North West,Female,,0.5876805368601629
2010,North West,Male,,1.30565310073752
2010,South East,Female,,0.48086698944290873
2010,South East,Male,,1.187462580085445
2010,South West,Female,,0.670657076270476
2010,South West,Male,,1.4355914151633373
2010,West Midlands,Female,,0.425134369031512
2010,West Midlands,Male,,0.8748813897782504
2010,Yorkshire and The Humber,Female,,0.7110368638933235
2010,Yorkshire and The Humber,Male,,1.2390450989183912
2010,North East,Female,,0.3023038576995281
2010,North East,Male,,0.7913295602739899
2010,,,0 to 20,0.3461535387307733
2010,,Male,0 to 20,0.3813874555760507
2010,,Female,0 to 20,0.30925101208836436
2010,London,,0 to 20,0.7196249890257189
2010,East Midlands,,0 to 20,0.2632544213580067
2010,East of England,,0 to 20,0.27452277646845663
2010,North West,,0 to 20,0.16734375810571328
2010,South East,,0 to 20,0.552533504250364
2010,South West,,0 to 20,0.47665237503962177
2010,West Midlands,,0 to 20,0.40962006373688187
2010,Yorkshire and The Humber,,0 to 20,0.29534332184447815
2010,London,Male,0 to 20,0.6590350408931243
2010,London,Female,0 to 20,0.7825797742257351
2010,North West,Male,0 to 20,0.3270253771692683
2010,South East,Female,0 to 20,0.37816011866664523
2010,South East,Male,0 to 20,0.7180935334779693
2010,South West,Female,0 to 20,0.8143494894843051
2010,West Midlands,Female,0 to 20,0.41984348234978
2010,West Midlands,Male,0 to 20,0.39988270107435153
2010,Yorkshire and The Humber,Male,0 to 20,0.5794439366262166
2010,,,21 to 40,1.498133639323675
2010,,Female,21 to 40,1.0729955323295912
2010,,Male,21 to 40,1.9270231572276038
2010,London,,21 to 40,3.076887973274635
2010,East Midlands,,21 to 40,1.2237751540426975
2010,East of England,,21 to 40,1.7613827667665012
2010,North West,,21 to 40,2.1287094126071997
2010,South East,,21 to 40,1.095016397870558
2010,South West,,21 to 40,1.4263447459402663
2010,West Midlands,,21 to 40,1.1094777133664329
2010,Yorkshire and The Humber,,21 to 40,1.5180419283180602
2010,North East,,21 to 40,0.9193373416441429
2010,London,Male,21 to 40,4.3624005389988225
2010,London,Female,21 to 40,1.7951164547278535
2010,East Midlands,Male,21 to 40,1.93191916850199
2010,East Midlands,Female,21 to 40,0.5220850685410681
2010,East of England,Female,21 to 40,1.6203078584931139
2010,East of England,Male,21 to 40,1.9034333859496704
2010,North West,Female,21 to 40,1.6268327626765522
2010,North West,Male,21 to 40,2.637191654607009
2010,South East,Female,21 to 40,0.6347076264654945
2010,South East,Male,21 to 40,1.5612401021969404
2010,South West,Female,21 to 40,1.4335364707606346
2010,South West,Male,21 to 40,1.4192248194036419
2010,West Midlands,Female,21 to 40,1.108251207301159
2010,West Midlands,Male,21 to 40,1.110706937197853
2010,Yorkshire and The Humber,Female,21 to 40,1.300957794038144
2010,Yorkshire and The Humber,Male,21 to 40,1.7351998299504166
2010,North East,Male,21 to 40,1.238765941369208
2010,,,41 to 60,0.9299650519133491
2010,,Female,41 to 60,0.4155558463127255
2010,,Male,41 to 60,1.4554559525055613
2010,London,,41 to 60,1.6691538798177912
2010,East Midlands,,41 to 60,1.0595162900629596
2010,East of England,,41 to 60,0.5121815991077796
2010,North West,,41 to 60,1.062148992949986
2010,South East,,41 to 60,1.2076872745560563
2010,South West,,41 to 60,1.543962579961471
2010,West Midlands,,41 to 60,0.5500459288350578
2010,Yorkshire and The Humber,,41 to 60,1.4389213845301563
2010,North East,,41 to 60,0.5591621514322939
2010,London,Male,41 to 60,2.8498448417808366
2010,London,Female,41 to 60,0.5156132859106607
2010,East Midlands,Male,41 to 60,1.309541153149201
2010,East Midlands,Female,41 to 60,0.8115908153890604
2010,East of England,Male,41 to 60,0.9053589489558626
2010,North West,Female,41 to 60,0.5268720554438001
2010,North West,Male,41 to 60,1.6060335468287263
2010,South East,Female,41 to 60,0.7703573345293845
2010,South East,Male,41 to 60,1.6518981178794496
2010,South West,Male,41 to 60,2.852517703437997
2010,West Midlands,Male,41 to 60,1.1054350094031067
2010,Yorkshire and The Humber,Female,41 to 60,1.0028940657325425
2010,Yorkshire and The Humber,Male,41 to 60,1.8787484644844281
2010,North East,Male,41 to 60,0.8532981395256232
2010,,,61 and over,0.3679899510205375
2010,,Female,61 and over,0.15089384713877144
2010,,Male,61 and over,0.6306333816155101
2010,London,,61 and over,0.4283007425021672
2010,East Midlands,,61 and over,0.3010497605149155
2010,East of England,,61 and over,0.5334272165234414
2010,North West,,61 and over,0.26452699597191515
2010,South East,,61 and over,0.3692512849944718
2010,South West,,61 and over,0.6840886305229705
2010,West Midlands,,61 and over,0.4981113278817816
2010,Yorkshire and The Humber,,61 and over,0.5323202687152717
2010,London,Male,61 and over,0.5744914314602998
2010,East of England,Male,61 and over,1.1682165005574061
2010,North West,Male,61 and over,0.4378577662832005
2010,South East,Male,61 and over,0.6996856079335019
2010,South West,Male,61 and over,1.1720208485765806
2010,West Midlands,Male,61 and over,0.9106638739641199
2010,Yorkshire and The Humber,Female,61 and over,0.48517232512367847
2010,Yorkshire and The Humber,Male,61 and over,0.5896180061477504
2011,,Male,,1.3506013504277017
2011,,Female,,0.5250422472603513
2011,London,,,1.9623599853103337
2011,East Midlands,,,0.749319882012973
2011,East of England,,,1.0746418969101146
2011,North West,,,0.9778965615031034
2011,South East,,,0.9476718706950272
2011,South West,,,1.1507629652784628
2011,West Midlands,,,0.8736478739065806
2011,Yorkshire and The Humber,,,1.0589590583736053
2011,North East,,,0.5391996197872395
2011,London,Male,,2.6393932651564076
2011,London,Female,,1.3010653074549836
2011,East Midlands,Male,,1.1622818095297274
2011,East Midlands,Female,,0.3477551751403736
2011,East of England,Female,,0.5373785398551831
2011,East of England,Male,,1.629115553166186
2011,North West,Female,,0.6688527002419574
2011,North West,Male,,1.2976800076822657
2011,South East,Female,,0.4544047956064509
2011,South East,Male,,1.4583355874810828
2011,South West,Female,,0.4811986436120695
2011,South West,Male,,1.8466908070192718
2011,West Midlands,Female,,0.5982951404005128
2011,West Midlands,Male,,1.1563785115963083
2011,Yorkshire and The Humber,Female,,0.4839472825057153
2011,Yorkshire and The Humber,Male,,1.6525946312196649
2011,North East,Female,,0.30146746826866483
2011,North East,Male,,0.7876508942200602
2011,,,0 to 20,0.22563118914969693
2011,,Male,0 to 20,0.18372495736968572
2011,,Female,0 to 20,0.2695465187874565
2011,London,,0 to 20,0.5209588863982845
2011,North West,,0 to 20,0.27908903107544725
2011,South East,,0 to 20,0.3656547780109842
2011,South West,,0 to 20,0.3166137525932645
2011,London,Male,0 to 20,0.4641305952103579
2011,London,Female,0 to 20,0.5801540889260187
2011,North West,Female,0 to 20,0.34278819346051537
2011,South East,Female,0 to 20,0.46941569012555934
2011,South East,Male,0 to 20,0.2672124927184596
2011,South West,Female,0 to 20,0.48690311764066224
2011,,,21 to 40,1.7785019513169837
2011,,Female,21 to 40,1.1522198868214382
2011,,Male,21 to 40,2.4070052347644237
2011,London,,21 to 40,3.146341413904935
2011,East Midlands,,21 to 40,1.3994479177964292
2011,East of England,,21 to 40,1.749590528524382
2011,North West,,21 to 40,1.8538147144907247
2011,South East,,21 to 40,2.0034112629959924
2011,South West,,21 to 40,2.0552433605758473
2011,West Midlands,,21 to 40,1.864389809383405
2011,Yorkshire and The Humber,,21 to 40,2.1691048610362973
2011,North East,,21 to 40,0.9204515121484259
2011,London,Male,21 to 40,4.049626826887902
2011,London,Female,21 to 40,2.238508312327533
2011,East Midlands,Male,21 to 40,2.105551285965448
2011,East Midlands,Female,21 to 40,0.6976103357947352
2011,East of England,Female,21 to 40,0.9406971103128623
2011,East of England,Male,21 to 40,2.560878138592029
2011,North West,Female,21 to 40,1.6288395821049169
2011,North West,Male,21 to 40,2.0806982385246755
2011,South East,Female,21 to 40,0.997548750660876
2011,South East,Male,21 to 40,3.0176919046299626
2011,South West,Female,21 to 40,1.593239565874083
2011,South West,Male,21 to 40,2.5101779873079124
2011,West Midlands,Female,21 to 40,1.1064272358128369
2011,West Midlands,Male,21 to 40,2.6201583954701597
2011,Yorkshire and The Humber,Female,21 to 40,1.159785033843977
2011,Yorkshire and The Humber,Male,21 to 40,3.173339333829528
2011,North East,Male,21 to 40,1.236105402707689
2011,,,41 to 60,1.1607003987630862
2011,,Female,41 to 60,0.4708094603511344
2011,,Male,41 to 60,1.8665264965478292
2011,London,,41 to 60,2.1000053268427803
2011,East Midlands,,41 to 60,0.8912511545753594
2011,East of England,,41 to 60,1.587615078278949
2011,North West,,41 to 60,1.3729068451023132
2011,South East,,41 to 60,1.0696711018083003
2011,South West,,41 to 60,1.4657138130963623
2011,West Midlands,,41 to 60,1.2963328109339534
2011,Yorkshire and The Humber,,41 to 60,1.500202527341191
2011,North East,,41 to 60,0.8374169038184814
2011,London,Male,41 to 60,3.2174230724522164
2011,London,Female,41 to 60,1.0112532258977907
2011,East Midlands,Male,41 to 60,1.4674590945777386
2011,East of England,Female,41 to 60,1.0053724590781992
2011,East of England,Male,41 to 60,2.1823858355456736
2011,North West,Female,41 to 60,0.5233957918978331
2011,North West,Male,41 to 60,2.2376322866897107
2011,South East,Female,41 to 60,0.25460517103102365
2011,South East,Male,41 to 60,1.8983977522970614
2011,South West,Male,41 to 60,2.9806428536958554
2011,West Midlands,Female,41 to 60,0.9496972500837768
2011,West Midlands,Male,41 to 60,1.6470032775365222
2011,Yorkshire and The Humber,Female,41 to 60,0.5690807070258704
2011,Yorkshire and The Humber,Male,41 to 60,2.4392938674717293
2011,North East,Male,41 to 60,1.4207491894625874
2011,,,61 and over,0.4133109751777237
2011,,Female,61 and over,0.1352137783921892
2011,,Male,61 and over,0.7475512820179464
2011,London,,61 and over,1.350523243349095
2011,East Midlands,,61 and over,0.5901271724056535
2011,East of England,,61 and over,0.7477093922767601
2011,North West,,61 and over,0.2603200635180955
2011,South East,,61 and over,0.25886522803179074
2011,South West,,61 and over,0.7464602853269795
2011,Yorkshire and The Humber,,61 and over,0.26197326999401827
2011,London,Male,61 and over,2.0693923699622054
2011,London,Female,61 and over,0.7654986687978149
2011,East Midlands,Male,61 and over,1.0658640000170538
2011,East of England,Male,61 and over,1.4695964977882572
2011,North West,Male,61 and over,0.42874721492954965
2011,South East,Male,61 and over,0.45646624375069184
2011,South West,Male,61 and over,1.639174970453871
2012,,Male,,1.2102740322262444
2012,,Female,,0.5341186338616147
2012,London,,,1.997985404836978
2012,East Midlands,,,0.766244772295041
2012,East of England,,,0.8802596359652419
2012,North West,,,0.6069728190513806
2012,South East,,,0.8367014386794697
2012,South West,,,1.385861997735052
2012,West Midlands,,,0.9747333173949667
2012,Yorkshire and The Humber,,,0.8275824192152601
2012,North East,,,0.4611287663652678
2012,London,Male,,2.606214823711489
2012,London,Female,,1.3800330161002266
2012,East Midlands,Male,,1.1100977152412863
2012,East Midlands,Female,,0.43183915546080043
2012,East of England,Female,,0.46651427200447854
2012,East of England,Male,,1.3074737954725622
2012,North West,Female,,0.3055036199401657
2012,North West,Male,,0.9185570043559697
2012,South East,Female,,0.6987868159215195
2012,South East,Male,,0.979368666312073
2012,South West,Female,,0.5882952050631627
2012,South West,Male,,2.175643933350484
2012,West Midlands,Female,,0.7701627739022643
2012,West Midlands,Male,,1.1844811434191305
2012,Yorkshire and The Humber,Female,,0.2593886653823222
2012,Yorkshire and The Humber,Male,,1.4132720762647448
2012,North East,Female,,0.30096934702442896
2012,North East,Male,,0.6283030085504185
2012,,,0 to 20,0.21264982509239166
2012,,Male,0 to 20,0.1466576716628047
2012,,Female,0 to 20,0.28181979238335897
2012,London,,0 to 20,0.6084441754809167
2012,South East,,0 to 20,0.18189871333945118
2012,South West,,0 to 20,0.23691891686989044
2012,West Midlands,,0 to 20,0.47601755552744784
2012,London,Male,0 to 20,0.27510139779020215
2012,London,Female,0 to 20,0.9559406934393792
2012,West Midlands,Female,0 to 20,0.4183989545604789
2012,West Midlands,Male,0 to 20,0.5308454377152413
2012,,,21 to 40,1.4908238905648055
2012,,Female,21 to 40,1.0595090941197245
2012,,Male,21 to 40,1.911282964027059
2012,London,,21 to 40,2.689129864803996
2012,East Midlands,,21 to 40,1.4045054780102721
2012,East of England,,21 to 40,1.349290037314616
2012,North West,,21 to 40,1.0379711706238863
2012,South East,,21 to 40,1.7800140027768219
2012,South West,,21 to 40,2.8482860438730992
2012,West Midlands,,21 to 40,1.655897582734508
2012,Yorkshire and The Humber,,21 to 40,1.1596110374677573
